step,track,model,dataset,Memory in Mb,Time in s,using_fallback,Accuracy,MicroF1,MacroF1,error
2024.0,Multiclass classification,CapyMoa Online Bagging,ImageSegments,0.003265380859375,1.058439,True,0.0,0.0,0.0,
2070.0,Multiclass classification,CapyMoa Online Bagging,ImageSegments,0.003265380859375,1.104622,True,0.0,0.0,0.0,
2116.0,Multiclass classification,CapyMoa Online Bagging,ImageSegments,0.003265380859375,1.151773,True,0.0,0.0,0.0,
2162.0,Multiclass classification,CapyMoa Online Bagging,ImageSegments,0.003265380859375,1.1999009999999999,True,0.0,0.0,0.0,
2208.0,Multiclass classification,CapyMoa Online Bagging,ImageSegments,0.003265380859375,1.248999,True,0.0,0.0,0.0,
2254.0,Multiclass classification,CapyMoa Online Bagging,ImageSegments,0.003265380859375,1.299075,True,0.0,0.0,0.0,
2300.0,Multiclass classification,CapyMoa Online Bagging,ImageSegments,0.003265380859375,1.350129,True,0.0,0.0,0.0,
2310.0,Multiclass classification,CapyMoa Online Bagging,ImageSegments,0.003265380859375,1.4014929999999999,True,0.0,0.0,0.0,
,Multiclass classification,CapyMoa Online Bagging,Insects,,,,,,,HTTP Error 404: Not Found
408.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.0034580230712890625,0.025481,True,0.0,0.0,0.0,
816.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.0035352706909179688,0.070109,True,0.0,0.0,0.0,
1224.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.003612518310546875,0.131934,True,0.0,0.0,0.0,
1632.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.0036897659301757812,0.21084999999999998,True,0.0,0.0,0.0,
2040.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.0038890838623046875,0.30696199999999996,True,0.0,0.0,0.0,
2448.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.003966331481933594,0.42031799999999997,True,0.0,0.0,0.0,
2856.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.0040435791015625,0.5512809999999999,True,0.0,0.0,0.0,
3264.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.004120826721191406,0.6996729999999999,True,0.0,0.0,0.0,
3672.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.0041980743408203125,0.8660289999999999,True,0.0,0.0,0.0,
4080.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.004542350769042969,1.0497999999999998,True,0.0,0.0,0.0,
4488.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.004619598388671875,1.250962,True,0.0,0.0,0.0,
4896.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.004696846008300781,1.4741719999999998,True,0.0,0.0,0.0,
5304.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.0047740936279296875,1.7161809999999997,True,0.0,0.0,0.0,
5712.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.004851341247558594,1.9799879999999996,True,0.0,0.0,0.0,
6120.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.0049285888671875,2.261468,True,0.0,0.0,0.0,
6528.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.005005836486816406,2.560529,True,0.0,0.0,0.0,
6936.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.0050830841064453125,2.8772279999999997,True,0.0,0.0,0.0,
7344.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.005160331726074219,3.2116559999999996,True,0.0,0.0,0.0,
7752.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.005237579345703125,3.5637669999999995,True,0.0,0.0,0.0,
8160.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.005314826965332031,3.9343199999999996,True,0.0,0.0,0.0,
8568.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.0059032440185546875,4.322761,True,0.0,0.0,0.0,
8976.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.005980491638183594,4.72892,True,0.0,0.0,0.0,
9384.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.0060577392578125,5.155481,True,0.0,0.0,0.0,
9792.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.006134986877441406,5.6030429999999996,True,0.0,0.0,0.0,
10200.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.0062122344970703125,6.068484,True,0.0,0.0,0.0,
10608.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.006289482116699219,6.551934,True,0.0,0.0,0.0,
11016.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.006366729736328125,7.053669,True,0.0,0.0,0.0,
11424.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.006443977355957031,7.574031,True,0.0,0.0,0.0,
11832.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.0065212249755859375,8.11243,True,0.0,0.0,0.0,
12240.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.006598472595214844,8.668928,True,0.0,0.0,0.0,
12648.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.00667572021484375,9.243521,True,0.0,0.0,0.0,
13056.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.006752967834472656,9.836293,True,0.0,0.0,0.0,
13464.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.0068302154541015625,10.447431,True,0.0,0.0,0.0,
13872.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.006907463073730469,11.076902,True,0.0,0.0,0.0,
14280.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.006984710693359375,11.725329,True,0.0,0.0,0.0,
14688.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.007061958312988281,12.395653000000001,True,0.0,0.0,0.0,
15096.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.0071392059326171875,13.091295,True,0.0,0.0,0.0,
15504.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.007216453552246094,13.810307,True,0.0,0.0,0.0,
15912.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.007293701171875,14.548684,True,0.0,0.0,0.0,
16320.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.007370948791503906,15.305577,True,0.0,0.0,0.0,
16728.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.0074481964111328125,16.080928,True,0.0,0.0,0.0,
17136.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.008570671081542969,16.874674,True,0.0,0.0,0.0,
17544.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.008647918701171875,17.68692,True,0.0,0.0,0.0,
17952.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.008725166320800781,18.517683,True,0.0,0.0,0.0,
18360.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.008802413940429688,19.366997,True,0.0,0.0,0.0,
18768.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.008879661560058594,20.234812,True,0.0,0.0,0.0,
19176.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.0089569091796875,21.121853,True,0.0,0.0,0.0,
