step,track,model,dataset,Accuracy,F1,Memory in Mb,Time in s
3180,Binary classification,Logistic regression,Bananas,0.5437106918238994,0.22031166039763567,0.004240989685058594,7.931285999999999
3286,Binary classification,Logistic regression,Bananas,0.5450395617772368,0.21604614577871,0.004240989685058594,8.728786
3392,Binary classification,Logistic regression,Bananas,0.5439268867924528,0.21272264631043258,0.004240989685058594,9.569693
3498,Binary classification,Logistic regression,Bananas,0.5457404230989137,0.20827105132037868,0.004240989685058594,10.432251999999998
3604,Binary classification,Logistic regression,Bananas,0.5480022197558269,0.2042012701514411,0.004240989685058594,11.319174999999998
3710,Binary classification,Logistic regression,Bananas,0.546900269541779,0.19914244878513576,0.004240989685058594,12.220143999999998
3816,Binary classification,Logistic regression,Bananas,0.5463836477987422,0.19450907398790138,0.004240989685058594,13.128168999999998
3922,Binary classification,Logistic regression,Bananas,0.5474247832738399,0.1906064751481988,0.004240989685058594,14.072048999999998
4028,Binary classification,Logistic regression,Bananas,0.547914597815293,0.1866904868244752,0.004240989685058594,15.032642999999998
4134,Binary classification,Logistic regression,Bananas,0.548137397194001,0.18285214348206474,0.004240989685058594,16.009674999999998
4240,Binary classification,Logistic regression,Bananas,0.5474056603773585,0.17886178861788615,0.004240989685058594,16.998451999999997
4346,Binary classification,Logistic regression,Bananas,0.5476300046019328,0.17671691792294805,0.004240989685058594,18.000521999999997
4452,Binary classification,Logistic regression,Bananas,0.5498652291105122,0.1820408163265306,0.004240989685058594,19.025472999999998
4558,Binary classification,Logistic regression,Bananas,0.5467310223782361,0.1814580031695721,0.004240989685058594,20.071678
4664,Binary classification,Logistic regression,Bananas,0.5465265866209262,0.18809980806142035,0.004240989685058594,21.149209
4770,Binary classification,Logistic regression,Bananas,0.5467505241090147,0.19086826347305388,0.004240989685058594,22.255726
4876,Binary classification,Logistic regression,Bananas,0.5469647251845775,0.19113877700476017,0.004240989685058594,23.403539
4982,Binary classification,Logistic regression,Bananas,0.5469690887193898,0.19765375044436545,0.004240989685058594,24.59116
5088,Binary classification,Logistic regression,Bananas,0.5448113207547169,0.19583333333333333,0.004240989685058594,25.809680999999998
5194,Binary classification,Logistic regression,Bananas,0.5429341547939931,0.19416157501697218,0.004240989685058594,27.047893
5300,Binary classification,Logistic regression,Bananas,0.5432075471698113,0.1970149253731343,0.004240989685058594,28.309672
906,Binary classification,Logistic regression,Elec2,0.7980132450331126,0.7834319526627219,0.0053730010986328125,0.245686
1812,Binary classification,Logistic regression,Elec2,0.8134657836644592,0.7488855869242199,0.0053730010986328125,0.672341
2718,Binary classification,Logistic regression,Elec2,0.8024282560706402,0.7300150829562596,0.0053730010986328125,1.24539
3624,Binary classification,Logistic regression,Elec2,0.8192604856512141,0.7598093142647598,0.0053730010986328125,2.021242
4530,Binary classification,Logistic regression,Elec2,0.8289183222958058,0.7613181398213735,0.0053730010986328125,3.045814
5436,Binary classification,Logistic regression,Elec2,0.8226637233259749,0.7528205128205128,0.0053730010986328125,4.307256
6342,Binary classification,Logistic regression,Elec2,0.8229265216020183,0.7589611504614724,0.0053730010986328125,5.7909679999999994
7248,Binary classification,Logistic regression,Elec2,0.8261589403973509,0.7617246596066566,0.0053730010986328125,7.530367999999999
8154,Binary classification,Logistic regression,Elec2,0.8318616629874908,0.7833096254148886,0.0053730010986328125,9.525886
9060,Binary classification,Logistic regression,Elec2,0.8375275938189846,0.7975797579757975,0.0053730010986328125,11.958670999999999
9966,Binary classification,Logistic regression,Elec2,0.8377483443708609,0.802008081302804,0.0053730010986328125,14.876057
10872,Binary classification,Logistic regression,Elec2,0.8400478292862399,0.8089220964729151,0.0053730010986328125,18.187634
11778,Binary classification,Logistic regression,Elec2,0.8432671081677704,0.8127789046653143,0.0053730010986328125,21.77659
12684,Binary classification,Logistic regression,Elec2,0.8419268369599495,0.8117547648108159,0.0053730010986328125,25.635520999999997
13590,Binary classification,Logistic regression,Elec2,0.8437821927888153,0.8167141500474834,0.0053730010986328125,29.701204999999998
14496,Binary classification,Logistic regression,Elec2,0.8447157836644592,0.8189204408334004,0.0053730010986328125,33.975699
15402,Binary classification,Logistic regression,Elec2,0.8464485131801065,0.8201110519510155,0.0053730010986328125,38.370799
16308,Binary classification,Logistic regression,Elec2,0.8411822418444935,0.812780106982796,0.0053730010986328125,42.86667
17214,Binary classification,Logistic regression,Elec2,0.8397234808876496,0.8069954529555788,0.0053730010986328125,47.54827
18120,Binary classification,Logistic regression,Elec2,0.8419426048565122,0.80987785448752,0.0053730010986328125,52.404483
19026,Binary classification,Logistic regression,Elec2,0.8451066961000736,0.8115849370244869,0.0053730010986328125,57.384947
19932,Binary classification,Logistic regression,Elec2,0.8428155729480232,0.8097637986520129,0.0053730010986328125,62.560624999999995
20838,Binary classification,Logistic regression,Elec2,0.8393799788847298,0.805689404934688,0.0053730010986328125,67.936031
21744,Binary classification,Logistic regression,Elec2,0.8402777777777778,0.8036632935722765,0.0053730010986328125,73.495506
22650,Binary classification,Logistic regression,Elec2,0.8394701986754967,0.8009198423127463,0.0053730010986328125,79.28273700000001
23556,Binary classification,Logistic regression,Elec2,0.8357106469689252,0.7954545454545454,0.0053730010986328125,85.34938600000001
24462,Binary classification,Logistic regression,Elec2,0.8330471752105306,0.791441119395363,0.0053730010986328125,91.696527
25368,Binary classification,Logistic regression,Elec2,0.8298249763481551,0.7872875092387287,0.0053730010986328125,98.185488
26274,Binary classification,Logistic regression,Elec2,0.8304407398949532,0.787745962170661,0.0053730010986328125,104.796345
27180,Binary classification,Logistic regression,Elec2,0.8308682855040471,0.7889638709085066,0.0053730010986328125,111.658969
28086,Binary classification,Logistic regression,Elec2,0.8277077547532579,0.7843678980437593,0.0053730010986328125,118.79755
28992,Binary classification,Logistic regression,Elec2,0.8270212472406181,0.7820039121930016,0.0053730010986328125,126.146921
29898,Binary classification,Logistic regression,Elec2,0.8260418757107498,0.780872129766168,0.0053730010986328125,133.736539
30804,Binary classification,Logistic regression,Elec2,0.8258992338657317,0.7797807251673304,0.0053730010986328125,141.56831499999998
31710,Binary classification,Logistic regression,Elec2,0.821286660359508,0.7731294287201249,0.0053730010986328125,149.620769
32616,Binary classification,Logistic regression,Elec2,0.8188619082658818,0.7700093428838368,0.0053730010986328125,157.77827299999998
33522,Binary classification,Logistic regression,Elec2,0.8168963665652408,0.7682024169184289,0.0053730010986328125,166.09043799999998
34428,Binary classification,Logistic regression,Elec2,0.8143952596723597,0.7647795037915042,0.0053730010986328125,174.576147
35334,Binary classification,Logistic regression,Elec2,0.8142016188373804,0.7627822944896115,0.0053730010986328125,183.299186
36240,Binary classification,Logistic regression,Elec2,0.8154801324503311,0.7629984051036682,0.0053730010986328125,192.25617
37146,Binary classification,Logistic regression,Elec2,0.815161794002046,0.7614481273017858,0.0053730010986328125,201.388088
38052,Binary classification,Logistic regression,Elec2,0.8151476926311363,0.7609596955073744,0.0053730010986328125,210.671233
38958,Binary classification,Logistic regression,Elec2,0.8162379998973254,0.7631274195149389,0.0053730010986328125,220.133811
39864,Binary classification,Logistic regression,Elec2,0.8169275536825206,0.7661946562439931,0.0053730010986328125,229.771796
40770,Binary classification,Logistic regression,Elec2,0.8186656855531028,0.7707241432780277,0.0053730010986328125,239.595092
41676,Binary classification,Logistic regression,Elec2,0.8201602840963624,0.7745390006918749,0.0053730010986328125,249.693999
42582,Binary classification,Logistic regression,Elec2,0.8211920529801324,0.7763613934089174,0.0053730010986328125,260.019861
43488,Binary classification,Logistic regression,Elec2,0.8216979396615158,0.7772863051470587,0.0053730010986328125,270.622474
44394,Binary classification,Logistic regression,Elec2,0.8211695274136145,0.7754109027129481,0.0053730010986328125,281.568212
45300,Binary classification,Logistic regression,Elec2,0.8221412803532009,0.7771292633675417,0.0053730010986328125,292.952019
45312,Binary classification,Logistic regression,Elec2,0.8221442443502824,0.7770862722319033,0.0053730010986328125,304.350277
25,Binary classification,Logistic regression,Phishing,0.6,0.6428571428571429,0.005324363708496094,0.004171
50,Binary classification,Logistic regression,Phishing,0.76,0.7499999999999999,0.005324363708496094,0.012671000000000002
75,Binary classification,Logistic regression,Phishing,0.8,0.8,0.005324363708496094,0.029563000000000002
100,Binary classification,Logistic regression,Phishing,0.81,0.8041237113402061,0.005324363708496094,0.049895
125,Binary classification,Logistic regression,Phishing,0.8,0.7933884297520661,0.005324363708496094,0.074852
150,Binary classification,Logistic regression,Phishing,0.8066666666666666,0.8079470198675497,0.005324363708496094,0.102425
175,Binary classification,Logistic regression,Phishing,0.8171428571428572,0.8072289156626506,0.005324363708496094,0.135745
200,Binary classification,Logistic regression,Phishing,0.815,0.8042328042328043,0.005324363708496094,0.174834
225,Binary classification,Logistic regression,Phishing,0.8133333333333334,0.7980769230769231,0.005324363708496094,0.21967199999999998
250,Binary classification,Logistic regression,Phishing,0.82,0.8068669527896996,0.005324363708496094,0.270343
275,Binary classification,Logistic regression,Phishing,0.8218181818181818,0.8078431372549019,0.005564689636230469,0.326711
300,Binary classification,Logistic regression,Phishing,0.8333333333333334,0.8161764705882353,0.005564689636230469,0.38885499999999995
325,Binary classification,Logistic regression,Phishing,0.84,0.8181818181818181,0.005564689636230469,0.456761
350,Binary classification,Logistic regression,Phishing,0.8514285714285714,0.8278145695364238,0.005564689636230469,0.5303519999999999
375,Binary classification,Logistic regression,Phishing,0.848,0.8213166144200628,0.005564689636230469,0.6066419999999999
400,Binary classification,Logistic regression,Phishing,0.85,0.8214285714285715,0.005564689636230469,0.6888059999999999
425,Binary classification,Logistic regression,Phishing,0.8564705882352941,0.825214899713467,0.005564689636230469,0.7767749999999999
450,Binary classification,Logistic regression,Phishing,0.86,0.8273972602739726,0.005564689636230469,0.8673879999999998
475,Binary classification,Logistic regression,Phishing,0.8568421052631578,0.8247422680412371,0.005564689636230469,0.9607769999999998
500,Binary classification,Logistic regression,Phishing,0.858,0.8297362110311751,0.005564689636230469,1.0570639999999998
525,Binary classification,Logistic regression,Phishing,0.8571428571428571,0.8251748251748252,0.005564689636230469,1.1577719999999998
550,Binary classification,Logistic regression,Phishing,0.8581818181818182,0.827433628318584,0.005564689636230469,1.2614179999999997
575,Binary classification,Logistic regression,Phishing,0.8608695652173913,0.8305084745762712,0.005564689636230469,1.3685979999999998
600,Binary classification,Logistic regression,Phishing,0.865,0.8329896907216495,0.005564689636230469,1.4791549999999998
625,Binary classification,Logistic regression,Phishing,0.8672,0.8323232323232322,0.005564689636230469,1.5925239999999998
650,Binary classification,Logistic regression,Phishing,0.8707692307692307,0.8390804597701149,0.005564689636230469,1.709226
675,Binary classification,Logistic regression,Phishing,0.8711111111111111,0.8426763110307414,0.005564689636230469,1.82933
700,Binary classification,Logistic regression,Phishing,0.8757142857142857,0.8465608465608465,0.005564689636230469,1.95294
725,Binary classification,Logistic regression,Phishing,0.8772413793103448,0.8514190317195326,0.005564689636230469,2.07972
750,Binary classification,Logistic regression,Phishing,0.8786666666666667,0.8539325842696629,0.005564689636230469,2.209914
775,Binary classification,Logistic regression,Phishing,0.88,0.8549141965678626,0.005564689636230469,2.342778
800,Binary classification,Logistic regression,Phishing,0.88,0.8567164179104476,0.005564689636230469,2.479921
825,Binary classification,Logistic regression,Phishing,0.88,0.8579626972740315,0.005564689636230469,2.619805
850,Binary classification,Logistic regression,Phishing,0.8811764705882353,0.8587412587412586,0.005564689636230469,2.762587
875,Binary classification,Logistic regression,Phishing,0.8845714285714286,0.8622100954979536,0.005564689636230469,2.9085289999999997
900,Binary classification,Logistic regression,Phishing,0.8844444444444445,0.8617021276595744,0.005564689636230469,3.0572839999999997
925,Binary classification,Logistic regression,Phishing,0.8864864864864865,0.8655569782330347,0.005564689636230469,3.208677
950,Binary classification,Logistic regression,Phishing,0.8852631578947369,0.8655980271270037,0.005564689636230469,3.3633409999999997
975,Binary classification,Logistic regression,Phishing,0.8861538461538462,0.8664259927797834,0.005564689636230469,3.5212359999999996
1000,Binary classification,Logistic regression,Phishing,0.887,0.8675263774912075,0.005564689636230469,3.6819189999999997
1025,Binary classification,Logistic regression,Phishing,0.8868292682926829,0.8678815489749431,0.005564689636230469,3.845353
1050,Binary classification,Logistic regression,Phishing,0.8885714285714286,0.8704318936877077,0.005564689636230469,4.0115229999999995
1075,Binary classification,Logistic regression,Phishing,0.8874418604651163,0.8703108252947481,0.005564689636230469,4.180295999999999
1100,Binary classification,Logistic regression,Phishing,0.889090909090909,0.8723849372384936,0.005564689636230469,4.35183
1125,Binary classification,Logistic regression,Phishing,0.8897777777777778,0.8742393509127788,0.005564689636230469,4.526033999999999
1150,Binary classification,Logistic regression,Phishing,0.8895652173913043,0.8738828202581926,0.005564689636230469,4.702891999999999
1175,Binary classification,Logistic regression,Phishing,0.8885106382978724,0.872444011684518,0.005564689636230469,4.882725
1200,Binary classification,Logistic regression,Phishing,0.8891666666666667,0.8729703915950333,0.005564689636230469,5.065207
1225,Binary classification,Logistic regression,Phishing,0.889795918367347,0.8737137511693172,0.005564689636230469,5.25029
1250,Binary classification,Logistic regression,Phishing,0.8872,0.8712328767123287,0.005564689636230469,5.438237
1903,Binary classification,Logistic regression,SMTP,1.0,0.0,0.004383087158203125,0.149075
3806,Binary classification,Logistic regression,SMTP,1.0,0.0,0.004383087158203125,0.638865
5709,Binary classification,Logistic regression,SMTP,1.0,0.0,0.004383087158203125,1.444418
7612,Binary classification,Logistic regression,SMTP,1.0,0.0,0.004383087158203125,2.600861
9515,Binary classification,Logistic regression,SMTP,1.0,0.0,0.004383087158203125,4.1697310000000005
11418,Binary classification,Logistic regression,SMTP,1.0,0.0,0.004383087158203125,5.989309
13321,Binary classification,Logistic regression,SMTP,1.0,0.0,0.004383087158203125,8.260196
15224,Binary classification,Logistic regression,SMTP,0.9996715712033631,0.7058823529411764,0.004383087158203125,10.969845000000001
17127,Binary classification,Logistic regression,SMTP,0.9997080632918783,0.761904761904762,0.004383087158203125,14.134333000000002
19030,Binary classification,Logistic regression,SMTP,0.9997372569626904,0.761904761904762,0.004383087158203125,17.570374
20933,Binary classification,Logistic regression,SMTP,0.999761142693355,0.761904761904762,0.004383087158203125,21.258808000000002
22836,Binary classification,Logistic regression,SMTP,0.9997810474689087,0.761904761904762,0.004383087158203125,25.102509
24739,Binary classification,Logistic regression,SMTP,0.9997978899713004,0.761904761904762,0.004383087158203125,29.22801
26642,Binary classification,Logistic regression,SMTP,0.9997747916823061,0.7272727272727273,0.004383087158203125,33.723153
28545,Binary classification,Logistic regression,SMTP,0.9997898055701524,0.7272727272727273,0.004383087158203125,38.620687000000004
30448,Binary classification,Logistic regression,SMTP,0.9998029427220179,0.7272727272727273,0.004383087158203125,43.87140600000001
32351,Binary classification,Logistic regression,SMTP,0.999814534326605,0.7272727272727273,0.004383087158203125,49.497468000000005
34254,Binary classification,Logistic regression,SMTP,0.999824837975127,0.7272727272727273,0.004383087158203125,55.47937
36157,Binary classification,Logistic regression,SMTP,0.9998340570290677,0.7272727272727273,0.004383087158203125,61.753652
38060,Binary classification,Logistic regression,SMTP,0.9998423541776142,0.7272727272727273,0.004383087158203125,68.429675
39963,Binary classification,Logistic regression,SMTP,0.9998498611215374,0.7272727272727273,0.004383087158203125,75.53041
41866,Binary classification,Logistic regression,SMTP,0.999856685616013,0.7272727272727273,0.004383087158203125,83.102384
43769,Binary classification,Logistic regression,SMTP,0.9998629166761863,0.7272727272727273,0.004383087158203125,91.128785
45672,Binary classification,Logistic regression,SMTP,0.9998686284813453,0.7272727272727273,0.004383087158203125,99.562366
47575,Binary classification,Logistic regression,SMTP,0.9998738833420915,0.7272727272727273,0.004383087158203125,108.528639
49478,Binary classification,Logistic regression,SMTP,0.9998787339827803,0.7272727272727273,0.004383087158203125,117.81290899999999
51381,Binary classification,Logistic regression,SMTP,0.9998443004223351,0.6666666666666666,0.004383087158203125,127.34522999999999
53284,Binary classification,Logistic regression,SMTP,0.9998498611215374,0.6666666666666666,0.004383087158203125,137.204884
55187,Binary classification,Logistic regression,SMTP,0.999855038324243,0.6666666666666666,0.004383087158203125,147.410034
57090,Binary classification,Logistic regression,SMTP,0.9997022245577158,0.48484848484848486,0.004383087158203125,158.134618
58993,Binary classification,Logistic regression,SMTP,0.9997118302171444,0.48484848484848486,0.004383087158203125,169.59659499999998
60896,Binary classification,Logistic regression,SMTP,0.9997208355228586,0.48484848484848486,0.004383087158203125,181.48414799999998
62799,Binary classification,Logistic regression,SMTP,0.999697447411583,0.45714285714285713,0.004383087158203125,193.77192499999998
64702,Binary classification,Logistic regression,SMTP,0.9997063460171247,0.45714285714285713,0.004383087158203125,206.37763399999997
66605,Binary classification,Logistic regression,SMTP,0.9997147361309211,0.45714285714285713,0.004383087158203125,219.31375699999998
68508,Binary classification,Logistic regression,SMTP,0.9996934664564723,0.4324324324324324,0.004383087158203125,233.46394399999997
70411,Binary classification,Logistic regression,SMTP,0.9997017511468379,0.4324324324324324,0.004383087158203125,248.02180899999996
72314,Binary classification,Logistic regression,SMTP,0.9997095998008685,0.4324324324324324,0.004383087158203125,262.79320599999994
74217,Binary classification,Logistic regression,SMTP,0.9997170459598205,0.4324324324324324,0.004383087158203125,277.9079959999999
76120,Binary classification,Logistic regression,SMTP,0.999724119810825,0.4324324324324324,0.004383087158203125,293.3681099999999
78023,Binary classification,Logistic regression,SMTP,0.9997308485959269,0.4324324324324324,0.004383087158203125,309.14495799999986
79926,Binary classification,Logistic regression,SMTP,0.9997372569626904,0.4324324324324324,0.004383087158203125,325.2667089999999
81829,Binary classification,Logistic regression,SMTP,0.9997433672658838,0.4324324324324324,0.004383087158203125,341.6690869999999
83732,Binary classification,Logistic regression,SMTP,0.9997491998280228,0.4324324324324324,0.004383087158203125,358.47173699999985
85635,Binary classification,Logistic regression,SMTP,0.9997547731651778,0.4324324324324324,0.004383087158203125,375.6325449999998
87538,Binary classification,Logistic regression,SMTP,0.9997601041833261,0.4324324324324324,0.004383087158203125,393.0634249999998
89441,Binary classification,Logistic regression,SMTP,0.9997540277948592,0.4210526315789474,0.004383087158203125,410.69220399999983
91344,Binary classification,Logistic regression,SMTP,0.9997591522157996,0.4210526315789474,0.004383087158203125,428.54099499999984
93247,Binary classification,Logistic regression,SMTP,0.9997640674767017,0.4210526315789474,0.004383087158203125,446.56351299999983
95150,Binary classification,Logistic regression,SMTP,0.9997687861271676,0.4210526315789474,0.004383087158203125,464.74893399999985
95156,Binary classification,Logistic regression,SMTP,0.9997688007062088,0.4210526315789474,0.004383087158203125,482.9431319999999
106,Binary classification,Aggregated Mondrian Forest,Bananas,0.7047619047619048,0.6990291262135924,0.8133068084716797,0.32161
212,Binary classification,Aggregated Mondrian Forest,Bananas,0.7867298578199052,0.7668393782383419,1.3378009796142578,1.521449
318,Binary classification,Aggregated Mondrian Forest,Bananas,0.8233438485804416,0.806896551724138,1.855398178100586,3.474408
424,Binary classification,Aggregated Mondrian Forest,Bananas,0.8392434988179669,0.8229166666666667,2.3226680755615234,5.8372150000000005
530,Binary classification,Aggregated Mondrian Forest,Bananas,0.8412098298676749,0.8181818181818182,2.776212692260742,8.735817
636,Binary classification,Aggregated Mondrian Forest,Bananas,0.8488188976377953,0.8267148014440434,3.173288345336914,12.048026
742,Binary classification,Aggregated Mondrian Forest,Bananas,0.8596491228070176,0.8359621451104102,3.5500621795654297,15.621291
848,Binary classification,Aggregated Mondrian Forest,Bananas,0.8677685950413223,0.8461538461538461,3.917997360229492,19.502556
954,Binary classification,Aggregated Mondrian Forest,Bananas,0.8730325288562435,0.8515337423312884,4.238534927368164,23.780915
1060,Binary classification,Aggregated Mondrian Forest,Bananas,0.8772426817752597,0.8549107142857144,4.491437911987305,28.453118
1166,Binary classification,Aggregated Mondrian Forest,Bananas,0.8772532188841202,0.8557013118062564,4.809717178344727,33.555981
1272,Binary classification,Aggregated Mondrian Forest,Bananas,0.8772619984264359,0.8566176470588236,5.171953201293945,39.208068000000004
1378,Binary classification,Aggregated Mondrian Forest,Bananas,0.8779956427015251,0.8561643835616438,5.501619338989258,45.669163000000005
1484,Binary classification,Aggregated Mondrian Forest,Bananas,0.8813216453135536,0.860759493670886,5.80189323425293,52.82687800000001
1590,Binary classification,Aggregated Mondrian Forest,Bananas,0.8785399622404028,0.8579838116261957,6.17225456237793,60.66216300000001
1696,Binary classification,Aggregated Mondrian Forest,Bananas,0.8790560471976401,0.8585231193926847,6.45002555847168,69.105838
1802,Binary classification,Aggregated Mondrian Forest,Bananas,0.8806218767351471,0.8613797549967763,6.703157424926758,79.465385
1908,Binary classification,Aggregated Mondrian Forest,Bananas,0.8783429470372313,0.8602409638554217,7.075212478637695,90.179136
2014,Binary classification,Aggregated Mondrian Forest,Bananas,0.8777943368107303,0.8607021517553795,7.409914016723633,101.41516
2120,Binary classification,Aggregated Mondrian Forest,Bananas,0.8791882963662104,0.8636847710330138,7.730207443237305,113.254297
2226,Binary classification,Aggregated Mondrian Forest,Bananas,0.8782022471910113,0.8626457171819564,8.068941116333008,127.361655
2332,Binary classification,Aggregated Mondrian Forest,Bananas,0.8777348777348777,0.8621190130624092,8.392999649047852,143.657034
2438,Binary classification,Aggregated Mondrian Forest,Bananas,0.8781288469429627,0.8624363131079205,8.738908767700195,160.811144
2544,Binary classification,Aggregated Mondrian Forest,Bananas,0.8784899724734565,0.8635761589403974,9.069158554077148,178.589234
2650,Binary classification,Aggregated Mondrian Forest,Bananas,0.8799546998867497,0.8654822335025381,9.380228042602539,196.985263
2756,Binary classification,Aggregated Mondrian Forest,Bananas,0.8820326678765881,0.8676171079429736,9.675683975219727,216.104916
2862,Binary classification,Aggregated Mondrian Forest,Bananas,0.8836071303739951,0.86905230043256,10.005556106567383,236.171054
2968,Binary classification,Aggregated Mondrian Forest,Bananas,0.8840579710144928,0.8691019786910198,10.283010482788086,257.403948
3074,Binary classification,Aggregated Mondrian Forest,Bananas,0.8831760494630654,0.8683535020168683,10.632661819458008,279.050404
3180,Binary classification,Aggregated Mondrian Forest,Bananas,0.8858131487889274,0.8707725169099323,10.90281867980957,303.00671900000003
3286,Binary classification,Aggregated Mondrian Forest,Bananas,0.8852359208523592,0.8696854476322157,11.200468063354492,329.40344300000004
3392,Binary classification,Aggregated Mondrian Forest,Bananas,0.8849896785608965,0.87017310252996,11.512235641479492,356.62955400000004
3498,Binary classification,Aggregated Mondrian Forest,Bananas,0.8864741206748642,0.8712293220888745,11.797895431518555,385.12615400000004
3604,Binary classification,Aggregated Mondrian Forest,Bananas,0.8878712184290869,0.8721518987341771,12.102933883666992,414.3118860000001
3710,Binary classification,Aggregated Mondrian Forest,Bananas,0.8878403882448099,0.8725490196078431,12.41331672668457,444.45981200000006
3816,Binary classification,Aggregated Mondrian Forest,Bananas,0.889646133682831,0.8746650788925276,12.665735244750977,475.19895500000007
3922,Binary classification,Aggregated Mondrian Forest,Bananas,0.8885488395817394,0.8730758059831543,13.002767562866211,507.0931770000001
4028,Binary classification,Aggregated Mondrian Forest,Bananas,0.8872609883287808,0.8714609286523215,13.407987594604492,539.7848950000001
4134,Binary classification,Aggregated Mondrian Forest,Bananas,0.8874909266876361,0.8717241379310345,13.751871109008789,573.0904570000001
4240,Binary classification,Aggregated Mondrian Forest,Bananas,0.8886529841943854,0.8731864588930682,13.96497917175293,606.8979580000001
4346,Binary classification,Aggregated Mondrian Forest,Bananas,0.8895281933256617,0.8742138364779874,14.240518569946289,641.2629070000002
4452,Binary classification,Aggregated Mondrian Forest,Bananas,0.8890137047854415,0.8735926305015352,14.605810165405273,676.3585480000002
4558,Binary classification,Aggregated Mondrian Forest,Bananas,0.8894009216589862,0.874439461883408,14.917993545532227,712.0350100000002
4664,Binary classification,Aggregated Mondrian Forest,Bananas,0.8893416255629423,0.8748180494905387,15.239774703979492,748.4112170000002
4770,Binary classification,Aggregated Mondrian Forest,Bananas,0.8880268400083875,0.8729176582579724,15.676980972290039,785.5221620000002
4876,Binary classification,Aggregated Mondrian Forest,Bananas,0.8888205128205128,0.8733644859813083,15.964864730834961,823.3159570000003
4982,Binary classification,Aggregated Mondrian Forest,Bananas,0.889580405541056,0.8746010031919745,16.210702896118164,861.7903140000003
5088,Binary classification,Aggregated Mondrian Forest,Bananas,0.8891291527422842,0.8740509155873157,16.543100357055664,901.1969720000003
5194,Binary classification,Aggregated Mondrian Forest,Bananas,0.8894665896398999,0.8743982494529539,16.87101936340332,941.3492750000003
5300,Binary classification,Aggregated Mondrian Forest,Bananas,0.889413096810719,0.8742489270386266,17.23769187927246,982.1982040000003
906,Binary classification,Aggregated Mondrian Forest,Elec2,0.8662983425414365,0.8638920134983127,5.093213081359863,2.144043
