step,track,model,dataset,Memory in Mb,Time in s,using_fallback,Accuracy,F1
5300,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,27.290636999999997,False,0.0,0.0
906,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,0.181863,False,0.0,0.0
1812,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,0.568248,False,0.0,0.0
2718,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,1.106608,False,0.0,0.0
3624,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,1.781069,False,0.0,0.0
4530,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,2.636303,False,0.0,0.0
5436,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,3.631374,False,0.0,0.0
6342,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,4.72213,False,0.0,0.0
7248,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,5.893583,False,0.0,0.0
8154,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,7.149108,False,0.0,0.0
9060,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,8.530713,False,0.0,0.0
9966,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,10.073492,False,0.0,0.0
10872,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,11.757509,False,0.0,0.0
11778,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,13.533286,False,0.0,0.0
12684,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,15.390979,False,0.0,0.0
13590,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,17.329291,False,0.0,0.0
14496,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,19.349759000000002,False,0.0,0.0
15402,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,21.451154000000002,False,0.0,0.0
16308,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,23.633051000000002,False,0.0,0.0
17214,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,25.997154000000002,False,0.0,0.0
18120,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,28.457398,False,0.0,0.0
19026,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,30.997912,False,0.0,0.0
19932,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,33.620038,False,0.0,0.0
20838,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,36.322346,False,0.0,0.0
21744,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,39.106346,False,0.0,0.0
22650,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,41.971609,False,0.0,0.0
23556,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,44.918168,False,0.0,0.0
24462,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,47.945982,False,0.0,0.0
25368,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,51.054192,False,0.0,0.0
26274,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,54.244987,False,0.0,0.0
27180,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,57.518111000000005,False,0.0,0.0
28086,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,60.873367,False,0.0,0.0
28992,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,64.31218,False,0.0,0.0
29898,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,67.914711,False,0.0,0.0
30804,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,71.598393,False,0.0,0.0
31710,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,75.364693,False,0.0,0.0
32616,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,79.213435,False,0.0,0.0
33522,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,83.145549,False,0.0,0.0
34428,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,87.160801,False,0.0,0.0
35334,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,91.257867,False,0.0,0.0
36240,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,95.437538,False,0.0,0.0
37146,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,99.69925500000001,False,0.0,0.0
38052,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,104.04192,False,0.0,0.0
38958,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,108.466689,False,0.0,0.0
39864,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,113.003979,False,0.0,0.0
40770,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,117.661824,False,0.0,0.0
41676,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,122.40250999999999,False,0.0,0.0
42582,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,127.343526,False,0.0,0.0
43488,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,132.390424,False,0.0,0.0
44394,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,137.518186,False,0.0,0.0
45300,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,142.726792,False,0.0,0.0
45312,Binary classification,CapyMoa Hoeffding Tree,Elec2,0.02235126495361328,147.93688799999998,False,0.0,0.0
25,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.005043,False,0.0,0.0
50,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.012965999999999998,False,0.0,0.0
75,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.023368,False,0.0,0.0
100,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.036274,False,0.0,0.0
